Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status,Latitude,Longitude,Altitude,Utm_easting,Utm_northing,Zone,Letter
1698238868.4156547,2202,1698238868,287095308,GPS1_FRAME,1,42.342605,-71.08461666666666,28.2,328282.59585828555,4689920.990971183,19,T
1698238868.578745,2203,1698238868,287095308,GPS1_FRAME,1,42.342605,-71.08461666666666,28.2,328282.59585828555,4689920.990971183,19,T
1698238869.2879043,2204,1698238869,286806583,GPS1_FRAME,1,42.342605,-71.08461666666666,28.2,328282.59585828555,4689920.990971183,19,T
1698238869.4134169,2205,1698238869,286806583,GPS1_FRAME,1,42.342605,-71.08461666666666,28.2,328282.59585828555,4689920.990971183,19,T
1698238869.5782986,2206,1698238869,286806583,GPS1_FRAME,1,42.342605,-71.08461666666666,28.2,328282.59585828555,4689920.990971183,19,T
1698238870.2886214,2207,1698238870,287584781,GPS1_FRAME,1,42.342605,-71.08461666666666,28.3,328282.59585828555,4689920.990971183,19,T
1698238870.4142435,2208,1698238870,287584781,GPS1_FRAME,1,42.342605,-71.08461666666666,28.3,328282.59585828555,4689920.990971183,19,T
1698238870.5745633,2209,1698238870,287584781,GPS1_FRAME,1,42.342605,-71.08461666666666,28.3,328282.59585828555,4689920.990971183,19,T
1698238870.735031,2210,1698238870,287584781,GPS1_FRAME,1,42.342605,-71.08461666666666,28.3,328282.59585828555,4689920.990971183,19,T
1698238870.8772428,2211,1698238870,287584781,GPS1_FRAME,1,42.342605,-71.08461666666666,28.3,328282.59585828555,4689920.990971183,19,T
1698238871.0419908,2212,1698238870,287584781,GPS1_FRAME,1,42.342605,-71.08461666666666,28.3,328282.59585828555,4689920.990971183,19,T
1698238871.2886803,2213,1698238871,287570476,GPS1_FRAME,1,42.342605,-71.08461666666666,28.3,328282.59585828555,4689920.990971183,19,T
1698238871.4144063,2214,1698238871,287570476,GPS1_FRAME,1,42.342605,-71.08461666666666,28.3,328282.59585828555,4689920.990971183,19,T
1698238871.5791554,2215,1698238871,287570476,GPS1_FRAME,1,42.342605,-71.08461666666666,28.3,328282.59585828555,4689920.990971183,19,T
1698238872.289539,2216,1698238872,288225650,GPS1_FRAME,1,42.342605,-71.08461666666666,28.3,328282.59585828555,4689920.990971183,19,T
1698238872.414904,2217,1698238872,288225650,GPS1_FRAME,1,42.342605,-71.08461666666666,28.3,328282.59585828555,4689920.990971183,19,T
1698238872.5799944,2218,1698238872,288225650,GPS1_FRAME,1,42.342605,-71.08461666666666,28.3,328282.59585828555,4689920.990971183,19,T
1698238873.2857888,2219,1698238873,284711837,GPS1_FRAME,1,42.342605,-71.08461666666666,28.3,328282.59585828555,4689920.990971183,19,T
1698238873.4067903,2220,1698238873,284711837,GPS1_FRAME,1,42.342605,-71.08461666666666,28.3,328282.59585828555,4689920.990971183,19,T
1698238873.5715916,2221,1698238873,284711837,GPS1_FRAME,1,42.342605,-71.08461666666666,28.3,328282.59585828555,4689920.990971183,19,T
1698238874.2865386,2222,1698238874,285482406,GPS1_FRAME,1,42.342605,-71.08461666666666,28.3,328282.59585828555,4689920.990971183,19,T
1698238874.4075437,2223,1698238874,285482406,GPS1_FRAME,1,42.342605,-71.08461666666666,28.3,328282.59585828555,4689920.990971183,19,T
1698238874.5724075,2224,1698238874,285482406,GPS1_FRAME,1,42.342605,-71.08461666666666,28.3,328282.59585828555,4689920.990971183,19,T
1698238875.288238,2225,1698238875,287086009,GPS1_FRAME,1,42.34260166666667,-71.084625,27.9,328281.90030802693,4689920.637660327,19,T
1698238875.4135826,2226,1698238875,287086009,GPS1_FRAME,1,42.34260166666667,-71.084625,27.9,328281.90030802693,4689920.637660327,19,T
1698238875.574127,2227,1698238875,287086009,GPS1_FRAME,1,42.34260166666667,-71.084625,27.9,328281.90030802693,4689920.637660327,19,T
1698238875.7343802,2228,1698238875,287086009,GPS1_FRAME,1,42.34260166666667,-71.084625,27.9,328281.90030802693,4689920.637660327,19,T
1698238875.8765543,2229,1698238875,287086009,GPS1_FRAME,1,42.34260166666667,-71.084625,27.9,328281.90030802693,4689920.637660327,19,T
1698238876.0417254,2230,1698238875,287086009,GPS1_FRAME,1,42.34260166666667,-71.084625,27.9,328281.90030802693,4689920.637660327,19,T
1698238876.2892854,2231,1698238876,287878036,GPS1_FRAME,1,42.34260666666667,-71.08464333333333,27.8,328280.40367477376,4689921.229900125,19,T
1698238876.4145706,2232,1698238876,287878036,GPS1_FRAME,1,42.34260666666667,-71.08464333333333,27.8,328280.40367477376,4689921.229900125,19,T
1698238876.5794492,2233,1698238876,287878036,GPS1_FRAME,1,42.34260666666667,-71.08464333333333,27.8,328280.40367477376,4689921.229900125,19,T
1698238877.2882102,2234,1698238877,287063360,GPS1_FRAME,1,42.342623333333336,-71.08467666666667,27.6,328277.7031493937,4689923.147931218,19,T
1698238877.4136503,2235,1698238877,287063360,GPS1_FRAME,1,42.342623333333336,-71.08467666666667,27.6,328277.7031493937,4689923.147931218,19,T
1698238877.5786917,2236,1698238877,287063360,GPS1_FRAME,1,42.342623333333336,-71.08467666666667,27.6,328277.7031493937,4689923.147931218,19,T
1698238878.2880552,2237,1698238878,286957979,GPS1_FRAME,1,42.342641666666665,-71.08471333333334,27.3,328274.73257316346,4689925.257766678,19,T
1698238878.4135768,2238,1698238878,286957979,GPS1_FRAME,1,42.342641666666665,-71.08471333333334,27.3,328274.73257316346,4689925.257766678,19,T
1698238878.5786512,2239,1698238878,286957979,GPS1_FRAME,1,42.342641666666665,-71.08471333333334,27.3,328274.73257316346,4689925.257766678,19,T
1698238879.288669,2240,1698238879,287577629,GPS1_FRAME,1,42.34267,-71.08476,27.0,328270.965455643,4689928.49822593,19,T
1698238879.4140418,2241,1698238879,287577629,GPS1_FRAME,1,42.34267,-71.08476,27.0,328270.965455643,4689928.49822593,19,T
1698238879.5814786,2242,1698238879,287577629,GPS1_FRAME,1,42.34267,-71.08476,27.0,328270.965455643,4689928.49822593,19,T
1698238880.287887,2243,1698238880,286682128,GPS1_FRAME,1,42.342705,-71.08482333333333,26.8,328265.8435446336,4689932.5126346685,19,T
1698238880.4133468,2244,1698238880,286682128,GPS1_FRAME,1,42.342705,-71.08482333333333,26.8,328265.8435446336,4689932.5126346685,19,T
1698238880.5737815,2245,1698238880,286682128,GPS1_FRAME,1,42.342705,-71.08482333333333,26.8,328265.8435446336,4689932.5126346685,19,T
1698238880.7341316,2246,1698238880,286682128,GPS1_FRAME,1,42.342705,-71.08482333333333,26.8,328265.8435446336,4689932.5126346685,19,T
1698238880.8760922,2247,1698238880,286682128,GPS1_FRAME,1,42.342705,-71.08482333333333,26.8,328265.8435446336,4689932.5126346685,19,T
1698238881.0436459,2248,1698238880,286682128,GPS1_FRAME,1,42.342705,-71.08482333333333,26.8,328265.8435446336,4689932.5126346685,19,T
1698238881.2851686,2249,1698238881,283779621,GPS1_FRAME,1,42.34275,-71.084895,26.5,328260.06239402277,4689937.654304607,19,T
1698238881.406051,2250,1698238881,283779621,GPS1_FRAME,1,42.34275,-71.084895,26.5,328260.06239402277,4689937.654304607,19,T
1698238881.5730846,2251,1698238881,283779621,GPS1_FRAME,1,42.34275,-71.084895,26.5,328260.06239402277,4689937.654304607,19,T
1698238882.289378,2252,1698238882,288421392,GPS1_FRAME,1,42.342798333333334,-71.08497166666666,26.3,328253.87844445277,4689943.176221156,19,T
1698238882.4151688,2253,1698238882,288421392,GPS1_FRAME,1,42.342798333333334,-71.08497166666666,26.3,328253.87844445277,4689943.176221156,19,T
1698238882.5824234,2254,1698238882,288421392,GPS1_FRAME,1,42.342798333333334,-71.08497166666666,26.3,328253.87844445277,4689943.176221156,19,T
1698238883.2890706,2255,1698238883,287939310,GPS1_FRAME,1,42.34284666666667,-71.08505333333333,26.5,328247.28262103966,4689948.708243957,19,T
1698238883.414514,2256,1698238883,287939310,GPS1_FRAME,1,42.34284666666667,-71.08505333333333,26.5,328247.28262103966,4689948.708243957,19,T
1698238883.5817795,2257,1698238883,287939310,GPS1_FRAME,1,42.34284666666667,-71.08505333333333,26.5,328247.28262103966,4689948.708243957,19,T
1698238884.2855542,2258,1698238884,284422874,GPS1_FRAME,1,42.34289833333333,-71.08513333333333,26.2,328240.8331796811,4689954.607047858,19,T
1698238884.4062958,2259,1698238884,284422874,GPS1_FRAME,1,42.34289833333333,-71.08513333333333,26.2,328240.8331796811,4689954.607047858,19,T
1698238884.5736783,2260,1698238884,284422874,GPS1_FRAME,1,42.34289833333333,-71.08513333333333,26.2,328240.8331796811,4689954.607047858,19,T
1698238885.2843363,2261,1698238885,283364057,GPS1_FRAME,1,42.34294833333333,-71.08521166666667,26.0,328234.5165047769,4689960.317420235,19,T
1698238885.405306,2262,1698238885,283364057,GPS1_FRAME,1,42.34294833333333,-71.08521166666667,26.0,328234.5165047769,4689960.317420235,19,T
1698238885.5659473,2263,1698238885,283364057,GPS1_FRAME,1,42.34294833333333,-71.08521166666667,26.0,328234.5165047769,4689960.317420235,19,T
1698238885.726384,2264,1698238885,283364057,GPS1_FRAME,1,42.34294833333333,-71.08521166666667,26.0,328234.5165047769,4689960.317420235,19,T
1698238885.8682766,2265,1698238885,283364057,GPS1_FRAME,1,42.34294833333333,-71.08521166666667,26.0,328234.5165047769,4689960.317420235,19,T
1698238886.0358958,2266,1698238885,283364057,GPS1_FRAME,1,42.34294833333333,-71.08521166666667,26.0,328234.5165047769,4689960.317420235,19,T
1698238886.2909837,2267,1698238886,289867162,GPS1_FRAME,1,42.342995,-71.085285,25.6,328228.6026449672,4689965.647555534,19,T
1698238886.412022,2268,1698238886,289867162,GPS1_FRAME,1,42.342995,-71.085285,25.6,328228.6026449672,4689965.647555534,19,T
1698238886.5790334,2269,1698238886,289867162,GPS1_FRAME,1,42.342995,-71.085285,25.6,328228.6026449672,4689965.647555534,19,T
1698238887.2857122,2270,1698238887,284476995,GPS1_FRAME,1,42.343041666666664,-71.085355,25.5,328222.9633824304,4689970.970961493,19,T
1698238887.406548,2271,1698238887,284476995,GPS1_FRAME,1,42.343041666666664,-71.085355,25.5,328222.9633824304,4689970.970961493,19,T
1698238887.5739098,2272,1698238887,284476995,GPS1_FRAME,1,42.343041666666664,-71.085355,25.5,328222.9633824304,4689970.970961493,19,T
1698238888.2838593,2273,1698238888,282825469,GPS1_FRAME,1,42.343085,-71.08542166666666,25.4,328217.5896380652,4689975.917495919,19,T
1698238888.4049585,2274,1698238888,282825469,GPS1_FRAME,1,42.343085,-71.08542166666666,25.4,328217.5896380652,4689975.917495919,19,T
1698238888.572385,2275,1698238888,282825469,GPS1_FRAME,1,42.343085,-71.08542166666666,25.4,328217.5896380652,4689975.917495919,19,T
1698238889.2837312,2276,1698238889,282608270,GPS1_FRAME,1,42.34313,-71.08548166666667,25.4,328212.7696164327,4689981.035635384,19,T
1698238889.4047034,2277,1698238889,282608270,GPS1_FRAME,1,42.34313,-71.08548166666667,25.4,328212.7696164327,4689981.035635384,19,T
1698238889.5720284,2278,1698238889,282608270,GPS1_FRAME,1,42.34313,-71.08548166666667,25.4,328212.7696164327,4689981.035635384,19,T
1698238890.2845929,2279,1698238890,283529758,GPS1_FRAME,1,42.34317,-71.08553666666667,25.4,328208.3478649197,4689985.588463281,19,T
1698238890.4055662,2280,1698238890,283529758,GPS1_FRAME,1,42.34317,-71.08553666666667,25.4,328208.3478649197,4689985.588463281,19,T
1698238890.5661004,2281,1698238890,283529758,GPS1_FRAME,1,42.34317,-71.08553666666667,25.4,328208.3478649197,4689985.588463281,19,T
1698238890.7218008,2282,1698238890,283529758,GPS1_FRAME,1,42.34317,-71.08553666666667,25.4,328208.3478649197,4689985.588463281,19,T
1698238890.8640022,2283,1698238890,283529758,GPS1_FRAME,1,42.34317,-71.08553666666667,25.4,328208.3478649197,4689985.588463281,19,T
1698238891.031395,2284,1698238890,283529758,GPS1_FRAME,1,42.34317,-71.08553666666667,25.4,328208.3478649197,4689985.588463281,19,T
1698238891.2848449,2285,1698238891,283715248,GPS1_FRAME,1,42.34320833333334,-71.08558666666667,25.4,328204.3334608724,4689989.946120324,19,T
1698238891.4058883,2286,1698238891,283715248,GPS1_FRAME,1,42.34320833333334,-71.08558666666667,25.4,328204.3334608724,4689989.946120324,19,T
1698238891.570907,2287,1698238891,283715248,GPS1_FRAME,1,42.34320833333334,-71.08558666666667,25.4,328204.3334608724,4689989.946120324,19,T
